Info 0    [12:45:47.182] Starting TS Server
Info 1    [12:45:47.183] Version: 4.7.3
Info 2    [12:45:47.183] Arguments: /Users/luca/.volta/tools/image/node/16.17.0/bin/node /Users/luca/.emacs.d/.local/etc/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /Users/luca/dev/syncedin/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/6z/4wrrwt1921s955ylw5cdq15m0000gn/T/aaa766ba637f3f3053f36430b0596967/tscancellation*
Info 3    [12:45:47.183] Platform: darwin NodeVersion: 16 CaseSensitive: false
Info 4    [12:45:47.183] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [12:45:47.193] Format host information updated
Info 6    [12:45:47.199] Search path: /Users/luca/dev/syncedin/app
Info 7    [12:45:47.199] For info: /Users/luca/dev/syncedin/app/tailwind.config.js :: No config files found.
Info 8    [12:45:47.202] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [12:45:47.528] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 325.60541701316833ms
Info 10   [12:45:47.528] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:45:47.528] 	Files (43)

Info 12   [12:45:47.528] -----------------------------------------------
Info 13   [12:45:47.536] AutoImportProviderProject: found 3 root files in 3 dependencies in 6.594667017459869 ms
Info 14   [12:45:47.537] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [12:45:47.811] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 274.2605410218239ms
Info 16   [12:45:47.811] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [12:45:47.811] 	Files (90)

Info 18   [12:45:47.811] -----------------------------------------------
Info 19   [12:45:48.005] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 20   [12:45:48.005] Elapsed:: 0.1276249885559082ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 21   [12:45:48.005] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 22   [12:45:48.005] Elapsed:: 0.008708000183105469ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/.types-registry-ZlQwAd7b :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 23   [12:45:48.005] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 24   [12:45:48.005] Elapsed:: 0.006542026996612549ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 25   [12:45:48.109] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry/index.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 26   [12:45:48.110] Elapsed:: 0.14991599321365356ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry/index.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 27   [12:45:48.110] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 28   [12:45:48.110] Elapsed:: 0.009916961193084717ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry/README.md :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 29   [12:45:48.160] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/types-registry/index.json :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
